Algorithm,Dataset,Fold,Accuracy,Fscore,TrainingTime,NoFeatures,Solution
EvoFS(<class 'NiaPy.algorithms.basic.gwo.GreyWolfOptimizer'>),libras_move,1,0.9166666666666666,0.0,387.58374893292785,2,[0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0]
DynFS(<class 'NiaPy.algorithms.basic.gwo.GreyWolfOptimizer'>),libras_move,1,0.9444444444444444,0.5,703.8148822747171,4,[0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0]
EvoFS(<class 'NiaPy.algorithms.modified.jde.SelfAdaptiveDifferentialEvolution'>),libras_move,1,0.9166666666666666,0.0,389.0588620752096,2,[0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0]
DynFS(<class 'NiaPy.algorithms.modified.jde.SelfAdaptiveDifferentialEvolution'>),libras_move,1,0.9444444444444444,0.5,489.9590932279825,7,[0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0]
EvoFS(<class 'NiaPy.algorithms.basic.ga.GeneticAlgorithm'>),libras_move,1,0.9166666666666666,0.0,388.59547701105475,2,[0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0]
DynFS(<class 'NiaPy.algorithms.basic.ga.GeneticAlgorithm'>),libras_move,1,0.9444444444444444,0.6666666666666666,1132.0573293864727,9,[0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0]
EvoFS(<class 'NiaPy.algorithms.basic.es.EvolutionStrategyMpL'>),libras_move,1,0.9166666666666666,0.0,361.86879581958055,2,[0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0]
DynFS(<class 'NiaPy.algorithms.basic.es.EvolutionStrategyMpL'>),libras_move,1,0.9722222222222222,0.8,587.5286346338689,10,[0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0]
EvoFS(<class 'NiaPy.algorithms.basic.pso.ParticleSwarmAlgorithm'>),libras_move,1,0.9166666666666666,0.0,390.75555607303977,2,[0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0]
DynFS(<class 'NiaPy.algorithms.basic.pso.ParticleSwarmAlgorithm'>),libras_move,1,0.9722222222222222,0.8,888.7164688892663,11,[0;1;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0]
